month,term,value,category,index,x,y,vy,vx,monthNum
2018-06-01,Standing Rock,0.28,location,4276,534.5964805581383,143.10361789534295,-0.47719664067124007,0.15344192697800832,1527811200000
2018-07-01,Standing Rock,0,location,4277,548.8836329421048,147.10145305139577,0.06309523562207689,-0.007576057446593887,1530403200000
2018-08-01,Standing Rock,0,location,4278,572.157780984075,148.79026909886622,-0.31692920505157524,-0.09948231148270709,1533081600000
2018-09-01,Standing Rock,0,location,4279,581.5971444421148,170.56055697497422,0.13881279458961854,-0.11108019288206643,1535760000000
2018-10-01,Standing Rock,0,location,4280,598.4210562933619,143.48566150792158,0.13917383895559093,0.39871503502104083,1538352000000
2018-11-01,Standing Rock,0,location,4281,607.1015518543566,159.864780647614,0.20350572727480679,-0.5833336964816995,1541030400000
2018-12-01,Standing Rock,0,location,4282,621.4718644506039,157.1005530656135,0.1679447042698726,-0.1034127632165442,1543622400000
2019-01-01,Standing Rock,0,location,4283,632.4185950713651,150.40491578226525,-1.3849656904232568,-0.7327843559602268,1546300800000
2019-02-01,Standing Rock,0,location,4284,647.869873482507,159.13374915424714,-0.032093748388366115,0.09970922518169754,1548979200000
2019-03-01,Standing Rock,0,location,4285,652.407462960691,144.81963071927518,0.41883967686701956,-1.2416017505358081,1551398400000
2019-04-01,Standing Rock,0,location,4286,677.1687438688292,148.84878262912042,-0.16569274914994137,-0.8321890050928468,1554076800000
2019-05-01,Standing Rock,0,location,4287,682.3737862226864,127.6863916116247,-0.1261801295474109,0.17840938324864444,1556668800000
2019-06-01,Standing Rock,0,location,4288,699.4044918667303,132.48252769618088,0.03390792482546625,-0.18853271265034016,1559347200000
2019-07-01,Standing Rock,0,location,4289,708.76772096966,156.4293892549484,-0.797185810575168,-0.45565764591908114,1561939200000
2019-08-01,Standing Rock,0,location,4290,722.1014095723527,148.448960058155,0.23253858930956617,0.23745312507874305,1564617600000
2019-09-01,Standing Rock,0,location,4291,735.0273841138662,148.68050327166074,-0.057865951013398684,0.39008233389968305,1567296000000
2019-10-01,Standing Rock,0,location,4292,750.2717664900698,173.60211184191897,0.05339667198369012,-0.0033050141544405886,1569888000000
2019-11-01,Standing Rock,0,location,4293,762.9462476769648,134.17681197273768,-0.12278646890249213,0.04843462585241125,1572566400000
2019-12-01,Standing Rock,0,location,4294,774.9954378494105,153.5712086220972,-0.03133625390940182,-0.43453692787711307,1575158400000
2020-01-01,Standing Rock,0,location,4295,793.0352747890838,140.3819915892572,1.004521907270881,1.8781343166435152,1577836800000
2020-02-01,Standing Rock,0,location,4296,808.1520481608321,120.37591633825372,-0.17620207004242158,0.029017453337397768,1580515200000
2020-03-01,Standing Rock,0,location,4297,816.1458670692359,174.15289821736903,0.5787931366926344,0.7682955657084835,1583020800000
2020-04-01,Standing Rock,0,location,4298,831.9817364604055,124.21503881392316,0.06987919005224102,-0.09981980842284012,1585699200000
2020-05-01,Standing Rock,0,location,4299,848.1351547686248,159.72691950440216,0.7481673426691814,-0.00484306121133935,1588291200000
2020-06-01,Standing Rock,0,location,4300,860.7687455859091,133.67389830631828,-0.2663193219879152,-0.3354801150618894,1590969600000
2020-07-01,Standing Rock,0,location,4301,871.8411738861954,149.2271338859633,-0.4270905519559186,0.7937316829848163,1593561600000
2020-08-01,Standing Rock,0,location,4302,883.3617534500211,147.97220684635803,0.9087444357130706,-0.5830543335359547,1596240000000
2020-09-01,Standing Rock,0,location,4303,893.6065304743291,156.66957233003285,0.4779836854957612,-0.2110717700505056,1598918400000
2020-10-01,Standing Rock,0,location,4304,908.9106969816639,150.04394177184705,-0.2549875730251498,0.1822788817548238,1601510400000
2020-11-01,Standing Rock,0,location,4305,918.3338755147862,159.76398826604878,-0.13925575807109447,-0.7238239832203126,1604188800000
2020-12-01,Standing Rock,0,location,4306,930.8983103911883,146.13077260961222,0.6253140050441336,0.4280647580258955,1606780800000
2021-01-01,Standing Rock,0,location,4307,946.494950101417,158.97760609389172,0.1086623010451094,-0.28568248661393264,1609459200000
2021-02-01,Standing Rock,0,location,4308,961.0886459893367,138.64600560235718,1.7482333490280362,-0.676743555346681,1612137600000
2021-03-01,Standing Rock,0,location,4309,971.5928973316144,152.64657088218883,0.008733191297770681,-0.2356287945429465,1614556800000
2021-04-01,Standing Rock,0,location,4310,988.8910870802845,144.43783414856904,-0.44302359327928725,0.9863181717538492,1617235200000
2021-05-01,Standing Rock,0,location,4311,1006.2557170626108,156.6750107378953,-0.1782840439522959,-0.038037891236719946,1619827200000
2015-01-01,Sudan,0.33,location,4312,2.539829616317542,149.80820495054235,0.24624954551788017,-0.14650566963701678,1420070400000
2015-02-01,Sudan,0.36,location,4313,5.397240404914191,159.31233074438575,0.10246573229911728,-0.06653389100226645,1422748800000
2015-03-01,Sudan,0,location,4314,27.934824558430165,144.75536558873497,-0.4550379782999713,0.13916015163025242,1425168000000
2015-04-01,Sudan,0,location,4315,37.48735232210839,174.44977276069068,0.17852927918179812,0.11828762461352384,1427846400000
2015-05-01,Sudan,0,location,4316,55.22564000906197,166.7946638395304,-0.49057613739559996,0.4601848440803144,1430438400000
2015-06-01,Sudan,0,location,4317,70.67048594058777,148.2411450619767,-0.1812346723789413,-0.18670729041927162,1433116800000
2015-07-01,Sudan,0,location,4318,80.290770697124,157.2665880160356,-0.3220021163072506,-0.0007288358128345725,1435708800000
2015-08-01,Sudan,0,location,4319,92.64961088318043,131.2795953748514,0.06937204088107382,0.30112456461403286,1438387200000
2015-09-01,Sudan,0,location,4320,103.0700922425769,147.46080796640473,0.1486437515021374,-0.22844799864215604,1441065600000
2015-10-01,Sudan,0,location,4321,111.18807952389086,164.68154351480214,0.42206898481142724,0.004847122390766967,1443657600000
2015-11-01,Sudan,0,location,4322,132.30894212684117,143.08320888328606,0.06948500728805947,0.07397872705070273,1446336000000
2015-12-01,Sudan,0,location,4323,138.6218898500329,164.21364925563745,0.05979041191916139,0.06019445323119055,1448928000000
2016-01-01,Sudan,0,location,4324,161.18075898692308,125.30481050927719,-0.026118816867845764,0.020627556665184437,1451606400000
2016-02-01,Sudan,0,location,4325,173.93693723458276,159.931072231198,0.6831054388166743,0.9104788691252053,1454284800000
2016-03-01,Sudan,0,location,4326,181.8296458307883,152.97473991741595,0.14672830543526114,-0.34349304550345333,1456790400000
2016-04-01,Sudan,0,location,4327,192.6244513224613,133.27780910871036,0.2056455477798638,0.3356418248063877,1459468800000
2016-05-01,Sudan,0.31,location,4328,211.05861162464743,178.8371764940547,0.08021226623371018,0.0205444518752883,1462060800000
2016-06-01,Sudan,0.32,location,4329,228.5213120587963,138.2412482415055,-0.2927872574327621,0.013615456908619705,1464739200000
2016-07-01,Sudan,0,location,4330,237.9359882492623,154.48349472650358,-0.2768756160002268,-0.3414141810302051,1467331200000
2016-08-01,Sudan,0,location,4331,243.18927740424718,158.84582424231138,0.704077721678921,-0.3421475517234551,1470009600000
2016-09-01,Sudan,0,location,4332,262.97862449677746,121.93446720673869,-0.13571631240933507,-0.07686225310830497,1472688000000
2016-10-01,Sudan,0,location,4333,275.5053341941215,155.59515466893032,-0.661781535926328,-0.322472348806278,1475280000000
2016-11-01,Sudan,0,location,4334,284.3961626007618,155.4117409389386,0.11383918889181097,0.0371480558722733,1477958400000
2016-12-01,Sudan,0.31,location,4335,307.743520380365,132.49830633338433,-0.10614458653765572,0.11363418139368503,1480550400000
2017-01-01,Sudan,0.29,location,4336,310.53783781287973,163.0079374537443,0.253486619003917,-0.1126040485628441,1483228800000
2017-02-01,Sudan,0.93,location,4337,327.22783327515486,164.34752275647526,0.3093624009365276,0.43504289789023237,1485907200000
2017-03-01,Sudan,0.56,location,4338,338.82012910608455,146.91587073376877,0.15021936508403363,1.3931170123536853,1488326400000
